Name,Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,RF,CF,q,Pow,Remark,Reference,,,
,m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,,,m3/s/m,%,,,,,
001-018,0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.025,0.000,0.000,0.00,0.000,0.084,0.432,4,3,2.813E-04,,,,,,
001-019,0.108,1.591,1.326,1.447,0.193,25,0,-0.021,,1.591,1.326,1.447,-0.021,0.000,1.00,0.00,0.00,0.00,0.00,0.143,0.000,0.000,0.00,0.000,0.074,0.432,4,3,2.031E-06,,,,,,
001-020,0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,0.432,4,3,1.094E-05,,,,,,
001-021,0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.031,0.432,4,3,1.313E-04,,,,,,
001-022,0.126,2.087,1.739,1.897,0.211,43,0,0.060,0.045,2.087,1.739,1.897,0.060,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,1.376,4,3,1.250E-06,,,,,,
001-023,0.126,2.087,1.739,1.897,0.211,25,0,-0.003,,2.087,1.739,1.897,-0.003,0.000,1.00,0.00,0.00,0.00,0.00,0.125,0.000,0.000,0.00,0.000,0.056,1.376,4,3,7.813E-07,,,,,,
001-024,0.138,2.165,1.804,1.968,0.236,25,0,0.023,0.042,2.165,1.804,1.968,0.023,0.000,1.00,0.00,0.00,0.00,0.00,0.100,0.000,0.000,0.00,0.000,0.031,1.376,4,3,2.031E-05,,,,,,
002-001,0.081,1.959,1.632,1.780,0.800,66,0,0.326,0.081,1.959,1.632,1.780,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.000,0.000,0.00,0.000,0.215,0.077,2,2,0.000E+00,,,,,,
002-002,0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.000,0.000,0.00,0.000,0.215,0.077,2,2,2.035E-04,,,,,,
002-003,0.187,2.105,1.754,1.914,0.800,66,0,0.326,0.187,2.105,1.754,1.914,0.218,0.185,0.55,1.33,1.33,1.33,1.33,0.274,0.000,0.000,0.00,0.000,0.215,0.077,2,2,7.178E-04,,,,,,
002-004,0.078,1.959,1.632,1.780,0.800,66,0,0.326,0.078,1.959,1.632,1.780,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.277,2,2,0.000E+00,,,,,,
002-005,0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.277,2,2,1.835E-05,,,,,,
002-006,0.187,2.123,1.769,1.930,0.800,66,0,0.326,0.187,2.123,1.769,1.930,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.277,2,2,8.150E-05,,,,,,
002-007,0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.335,0.000,0.000,0.00,0.000,0.225,0.277,2,2,8.096E-06,,,,,,
002-008,0.187,2.123,1.769,1.930,0.800,66,0,0.326,0.187,2.123,1.769,1.930,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.335,0.000,0.000,0.00,0.000,0.225,0.277,2,2,3.940E-05,,,,,,
002-009,0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.323,2,2,8.096E-06,,,,,,
002-010,0.187,2.123,1.769,1.930,0.800,66,0,0.326,0.187,2.123,1.769,1.930,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.323,2,2,3.508E-05,,,,,,
003-001,0.101,1.404,1.170,1.277,0.368,1000,0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.192,0.000,0.000,0.00,0.000,0.214,0.094,2,1,1.673E-07,,,,,,
003-002,0.116,1.468,1.224,1.335,0.368,1000,0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.192,0.000,0.000,0.00,0.000,0.214,0.094,1,1,3.346E-07,,,,,,
003-003,0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.159,0.000,0.000,0.00,0.000,0.181,0.094,1,1,1.506E-05,,,,,,
003-004,0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.151,0.000,0.000,0.00,0.000,0.173,0.094,1,1,4.852E-05,,,,,,
003-005,0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.159,0.000,0.000,0.00,0.000,0.181,0.393,1,3,2.788E-07,,,,,,
003-006,0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.151,0.000,0.000,0.00,0.000,0.173,0.393,1,3,2.175E-06,,,,,,
003-007,0.101,1.404,1.170,1.277,0.368,1000,0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.393,2,1,1.115E-07,,,,,,
003-008,0.116,1.468,1.224,1.335,0.368,1000,0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.393,2,1,1.115E-07,,,,,,
003-009,0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.150,0.000,0.000,0.00,0.000,0.150,0.393,1,1,3.402E-06,,,,,,
003-010,0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.142,0.000,0.000,0.00,0.000,0.142,0.393,1,1,2.509E-05,,,,,,
003-011,0.101,1.404,1.170,1.277,0.368,1000,0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.094,1,3,4.461E-07,,,,,,
003-012,0.116,1.468,1.224,1.335,0.368,1000,0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.183,0.000,0.000,0.00,0.000,0.183,0.094,1,3,2.565E-06,,,,,,
003-013,0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.150,0.000,0.000,0.00,0.000,0.150,0.094,1,3,6.692E-05,,,,,,
003-014,0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.142,0.000,0.000,0.00,0.000,0.142,0.094,1,3,1.729E-04,,,,,,
003-015,0.073,1.190,0.992,1.082,0.511,,,0.166,0.058,1.046,0.872,0.951,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,4,1,0.000E+00,,,,,,
003-016,0.073,1.190,0.992,1.082,0.511,,,0.166,0.058,1.046,0.872,0.951,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,4,1,0.000E+00,,,,,,
003-017,0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.067,1.046,0.872,0.951,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-018,0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.085,1.149,0.958,1.045,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-019,0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.070,1.108,0.923,1.007,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-020,0.073,1.190,0.992,1.082,0.511,51,30,0.166,0.079,1.067,0.889,0.970,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,3,1,0.000E+00,,,,,,
003-021,0.073,1.190,0.992,1.082,0.511,51,30,0.166,0.064,0.985,0.821,0.895,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,3,1,0.000E+00,,,,,,
003-022,0.076,1.190,0.992,1.082,0.533,,,0.188,0.053,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,4,1,0.000E+00,,,,,,
003-023,0.076,1.190,0.992,1.082,0.533,,,0.188,0.053,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,4,1,0.000E+00,,,,,,
003-024,0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.076,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,2,1,0.000E+00,,,,,,
003-025,0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.091,1.170,0.975,1.063,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,2,1,0.000E+00,,,,,,
003-026,0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.082,1.129,0.940,1.026,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,2,1,0.000E+00,,,,,,
003-027,0.076,1.190,0.992,1.082,0.533,51,30,0.188,0.082,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,3,1,0.000E+00,,,,,,
003-028,0.076,1.190,0.992,1.082,0.533,51,30,0.188,0.076,1.067,0.889,0.970,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,3,1,0.000E+00,,,,,,
003-029,0.132,1.477,1.231,1.343,0.542,,,0.197,0.102,1.272,1.060,1.157,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,4,1,0.000E+00,,,,,,
003-030,0.132,1.477,1.231,1.343,0.542,,,0.197,0.102,1.272,1.060,1.157,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,4,1,0.000E+00,,,,,,
003-031,0.132,1.477,1.231,1.343,0.542,44,0,0.197,0.108,1.211,1.009,1.101,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,2,1,0.000E+00,,,,,,
003-032,0.132,1.477,1.231,1.343,0.542,44,0,0.197,0.114,1.334,1.111,1.213,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,2,1,0.000E+00,,,,,,
003-033,0.132,1.477,1.231,1.343,0.542,44,0,0.197,0.102,1.252,1.043,1.138,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,2,1,3.500E-07,,,,,,
003-034,0.132,1.477,1.231,1.343,0.542,51,30,0.197,0.099,1.252,1.043,1.138,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,3,1,0.000E+00,,,,,,
003-035,0.132,1.477,1.231,1.343,0.542,51,30,0.197,0.091,1.252,1.043,1.138,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,3,1,0.000E+00,,,,,,
003-036,0.143,1.457,1.214,1.324,0.549,,,0.204,0.126,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,4,1,0.000E+00,,,,,,
003-037,0.143,1.457,1.214,1.324,0.549,,,0.204,0.126,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,4,1,0.000E+00,,,,,,
003-038,0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.108,1.231,1.026,1.119,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2,1,0.000E+00,,,,,,
003-039,0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.120,1.354,1.129,1.231,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2,1,0.000E+00,,,,,,
003-040,0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.105,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2,1,7.000E-07,,,,,,
003-041,0.143,1.457,1.214,1.324,0.549,51,30,0.204,0.102,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,3,1,1.950E-07,,,,,,
003-042,0.143,1.457,1.214,1.324,0.549,51,30,0.204,0.094,1.293,1.077,1.175,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,3,1,0.000E+00,,,,,,
003-043,0.073,1.149,0.958,1.045,0.511,,,0.166,0.032,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,4,1,0.000E+00,,,,,,
003-044,0.073,1.149,0.958,1.045,0.511,,,0.166,0.032,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,4,1,0.000E+00,,,,,,
003-045,0.073,1.149,0.958,1.045,0.511,44,0,0.166,0.064,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-046,0.073,1.149,0.958,1.045,0.511,44,0,0.166,0.079,1.149,0.958,1.045,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-047,0.073,1.149,0.958,1.045,0.511,44,0,0.166,0.079,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-048,0.073,1.149,0.958,1.045,0.511,51,45,0.166,0.079,1.026,0.855,0.933,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,3,1,0.000E+00,,,,,,
003-049,0.073,1.149,0.958,1.045,0.511,51,45,0.166,0.079,1.026,0.855,0.933,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,3,1,0.000E+00,,,,,,
003-050,0.073,1.170,0.975,1.063,0.533,,,0.188,0.029,1.149,0.958,1.045,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,4,1,0.000E+00,,,,,,
003-051,0.073,1.170,0.975,1.063,0.533,,,0.188,0.029,1.149,0.958,1.045,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,4,1,0.000E+00,,,,,,
003-052,0.073,1.170,0.975,1.063,0.533,44,0,0.188,0.058,1.190,0.992,1.082,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,2,1,0.000E+00,,,,,,
003-053,0.073,1.170,0.975,1.063,0.533,44,0,0.188,0.085,1.170,0.975,1.063,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,2,1,0.000E+00,,,,,,
003-054,0.073,1.170,0.975,1.063,0.533,44,0,0.188,0.085,1.211,1.009,1.101,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,2,1,0.000E+00,,,,,,
003-055,0.073,1.170,0.975,1.063,0.533,51,45,0.188,0.085,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,3,1,0.000E+00,,,,,,
003-056,0.073,1.170,0.975,1.063,0.533,51,45,0.188,0.085,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,3,1,0.000E+00,,,,,,
003-057,0.129,1.436,1.197,1.306,0.542,,,0.197,0.085,1.518,1.265,1.380,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,4,1,0.000E+00,,,,,,
003-058,0.129,1.436,1.197,1.306,0.542,,,0.197,0.085,1.518,1.265,1.380,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,4,1,0.000E+00,,,,,,
003-059,0.129,1.436,1.197,1.306,0.542,44,0,0.197,0.099,1.272,1.060,1.157,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,2,1,0.000E+00,,,,,,
003-060,0.129,1.436,1.197,1.306,0.542,44,0,0.197,0.114,1.293,1.077,1.175,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,2,1,4.450E-08,,,,,,
003-061,0.129,1.436,1.197,1.306,0.542,44,0,0.197,0.111,1.313,1.094,1.194,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,2,1,5.500E-07,,,,,,
003-062,0.129,1.436,1.197,1.306,0.542,51,45,0.197,0.096,1.190,0.992,1.082,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,3,1,1.150E-08,,,,,,
003-063,0.129,1.436,1.197,1.306,0.542,51,45,0.197,0.096,1.190,0.992,1.082,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,3,1,0.000E+00,,,,,,
003-064,0.143,1.457,1.214,1.324,0.549,,,0.204,0.096,1.416,1.180,1.287,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,4,1,0.000E+00,,,,,,
003-065,0.143,1.457,1.214,1.324,0.549,,,0.204,0.096,1.416,1.180,1.287,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,4,1,3.250E-08,,,,,,
003-066,0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.099,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2,1,5.500E-08,,,,,,
003-067,0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.123,1.313,1.094,1.194,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2,1,1.150E-07,,,,,,
003-068,0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.102,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2,1,2.300E-06,,,,,,
003-069,0.143,1.457,1.214,1.324,0.549,51,45,0.204,0.102,1.231,1.026,1.119,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,3,1,4.400E-08,,,,,,
003-070,0.143,1.457,1.214,1.324,0.549,51,45,0.204,0.102,1.231,1.026,1.119,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,3,1,0.000E+00,,,,,,
003-071,0.073,1.190,0.992,1.082,0.511,,,0.166,0.067,1.005,0.838,0.914,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,4,1,0.000E+00,,,,,,
003-072,0.073,1.190,0.992,1.082,0.511,,,0.166,0.067,1.005,0.838,0.914,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,4,1,0.000E+00,,,,,,
003-073,0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.073,1.088,0.906,0.989,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-074,0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.073,1.149,0.958,1.045,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-075,0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.088,1.088,0.906,0.989,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,2,1,0.000E+00,,,,,,
003-076,0.073,1.190,0.992,1.082,0.511,45,45,0.166,0.088,1.067,0.889,0.970,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,3,1,0.000E+00,,,,,,
003-077,0.073,1.190,0.992,1.082,0.511,45,45,0.166,0.088,1.067,0.889,0.970,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,3,1,0.000E+00,,,,,,
003-078,0.076,1.190,0.992,1.082,0.533,,,0.188,0.070,1.046,0.872,0.951,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,4,1,0.000E+00,,,,,,
